productId,productName,stockCode,stockUnit,createdDate,releaseDate,productJson,productStateId,barcode,flagStockOption,stockLimitId,productSizeId,description,shortDescription,flagPriceOption,productContent,productTypeId,metaId,importName,taxId,serialNo,productBranchId,companyId,productId.1,stokQuantity,taxTotal,itemPrice,regularPrice,saleFlag,oldPrice,flagStockManage,saleTag,flagStockOnline,flagOnStock,flagActive,flagLock,currencyId,purchasePrice
239898,KARAMELCE KREMA YER FISTIK 400 GR,8690120131290,1,2024-07-09 09:43:28.293,2024-07-09 09:48:47.440,,3,8690120131290,False,69818,,,,,,1,,KARAMELCE KREMA YER FISTIK 400 GR,,,240665,2251,239898,6.0,0.0,0.00,0.00,False,0.00,True,,,False,,,1,
239897,EFES BUD 50CL SISE,8690520581213,1,2024-07-08 23:42:42.427,2024-07-08 23:42:42.427,,3,8690520581213,False,69817,,,,,,1,,EFES BUD 50CL SISE,,,240664,1,239897,7.0,0.0,98.00,98.00,False,98.00,True,,,False,,,1,
239896,EFES PILSEN BIRA 33CL CAM SISE,8690520580889,1,2024-07-08 23:42:42.270,2024-07-08 23:42:42.270,,3,8690520580889,False,69816,,,,,,1,,EFES PILSEN BIRA 33CL CAM SISE,,,240663,1,239896,19.0,0.0,68.00,68.00,False,68.00,True,,,False,,,1,
239895,TEŞHİR VE HİZMET BEDELİ,6314812336571,1,2024-07-08 17:23:47.937,2024-07-08 17:23:47.937,,3,6314812336571,False,69815,,,,,,1,,TEŞHİR VE HİZMET BEDELİ,,,240662,2251,239895,0.0,0.0,0.00,0.00,False,0.00,True,,,False,,,1,
239894,TANG LIMON ICECEK TOZU,8684278458040,1,2024-07-08 13:00:25.300,2024-07-08 20:07:09.953,,3,8684278458040,False,69814,,,,,,1,,TANG LIMON ICECEK TOZU,,,240661,2251,239894,93.0,0.0,5.00,5.00,False,5.00,True,,,False,,,1,
239893,TANG VISNE ICECEK TOZU,8684278458033,1,"2024/07/08 13:00:25,273","2024/07/08 14:24:21,287",,3,8684278458033,False,69813,,,,,,1,,TANG VISNE ICECEK TOZU,,,240660,2251,239893,94.0,0.0,5,5,False,5,True,,,False,,,1,
239892,TANG PORTAKAL ICECEK TOZU,8684278458026,1,"2024/07/08 12:59:39,530","2024/07/08 13:46:50,857",,3,8684278458026,False,69812,,,,,,1,,TANG PORTAKAL ICECEK TOZU,,,240659,2251,239892,96.0,0.0,5,5,False,5,True,,,False,,,1,
239891,TANG SEFTALI ICECEK TOZU,8684278458002,1,"2024/07/08 12:58:53,700","2024/07/08 14:24:21,267",,3,8684278458002,False,69811,,,,,,1,,TANG SEFTALI ICECEK TOZU,,,240658,2251,239891,95.0,0.0,5,5,False,5,True,,,False,,,1,
239890,DYMO LETRATAG PLASTİK ŞERİT 12*4MT ŞEFFAF,ROTRİNG.S0721530,1,"2024/07/08 12:58:40,133","2024/07/08 12:58:40,133",,3,5411313122672,False,69810,,,,,,1,,DYMO LETRATAG PLASTİK ŞERİT 12*4MT ŞEFFAF,,,240657,2297,239890,0.0,0.0,161,161,False,161,False,,,False,,,1,
239889,AVSAR GAZOZ,8681349030297,1,"2024/07/08 12:58:38,430","2024/07/08 13:04:17,250",,3,8681349030297,False,69809,,,,,,1,,AVSAR GAZOZ,,,240656,2251,239889,8.0,0.0,0,0,False,0,True,,,False,,,1,
